Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,283.690002,286.260010,283.500000,283.980011,274.474182,3157400
2020-02-04,287.679993,289.000000,287.420013,288.040009,278.398224,3004100
2020-02-05,290.760010,293.040009,289.950012,292.859985,283.056885,3305900
2020-02-06,294.019989,294.140015,292.450012,293.739990,283.907440,2857200
2020-02-07,292.760010,292.809998,290.660004,291.190002,281.442871,3839300
2020-02-10,290.200012,292.959991,290.160004,292.950012,283.143890,2877700
2020-02-11,294.350006,294.420013,292.279999,292.940002,283.134186,1994500
2020-02-12,294.630005,295.869995,294.529999,295.720001,285.821167,2804400
2020-02-13,294.390015,295.839996,293.920013,294.820007,284.951263,2638000
2020-02-14,294.970001,295.130005,293.399994,294.540009,284.680664,1861700
2020-02-18,293.149994,293.880005,291.760010,292.950012,283.143890,2397800
2020-02-19,293.769989,294.720001,293.390015,294.100006,284.255402,1474400
2020-02-20,293.559998,294.290009,290.170013,292.779999,282.979645,3493900
2020-02-21,290.799988,291.049988,288.750000,289.739990,280.812408,3271800
2020-02-24,280.329987,282.779999,278.970001,279.559998,270.946167,6595200
2020-02-25,280.799988,281.359985,269.880005,270.700012,262.359161,9903700
2020-02-26,271.989990,275.309998,268.829987,269.739990,261.428680,7477600
2020-02-27,264.859985,267.730011,257.390015,257.500000,249.565842,11188900
2020-02-28,250.520004,255.119995,247.000000,254.559998,246.716431,17541400
2020-03-02,256.709991,267.250000,254.059998,267.029999,258.802277,8544500
2020-03-03,267.799988,271.019989,257.179993,259.299988,251.310394,11482600
2020-03-04,265.450012,271.109985,262.959991,270.890015,262.543304,5408100
2020-03-05,264.269989,266.529999,259.559998,261.459991,253.403854,5872900
2020-03-06,253.669998,260.100006,252.429993,258.850006,250.874298,7372400
2020-03-09,241.500000,247.070007,237.169998,238.720001,231.364502,10406900
2020-03-10,247.289993,250.539993,237.089996,250.470001,242.752502,9407100
2020-03-11,243.539993,244.910004,233.600006,235.839996,228.573303,7687200
2020-03-12,220.500000,229.000000,211.830002,212.110001,205.574448,17322600
2020-03-13,225.649994,232.479996,213.289993,232.110001,224.958176,13676000
2020-03-16,206.500000,218.309998,201.509995,202.490005,196.250870,12407000
2020-03-17,207.009995,214.470001,199.350006,213.470001,206.892517,16128100
2020-03-18,199.070007,205.440002,189.669998,199.389999,193.246368,13369800
2020-03-19,198.369995,204.979996,192.320007,201.309998,195.107254,13532100
2020-03-20,203.289993,205.289993,191.000000,191.899994,186.544983,12206000
2020-03-23,190.130005,191.199997,182.100006,186.130005,180.936020,15712300
2020-03-24,196.270004,207.210007,196.210007,206.639999,200.873657,14123600
2020-03-25,210.570007,220.169998,205.320007,212.059998,206.142456,17556100
2020-03-26,214.429993,225.869995,214.009995,225.070007,218.789383,16071900
2020-03-27,217.610001,223.259995,214.570007,216.350006,210.312729,10545600
2020-03-30,217.360001,223.720001,215.100006,223.100006,216.874359,7691800
2020-03-31,221.949997,224.750000,218.440002,219.229996,213.112335,8426600
2020-04-01,210.649994,214.779999,207.770004,209.380005,203.537216,8570300
2020-04-02,208.309998,214.789993,207.179993,213.960007,207.989426,8231900
2020-04-03,212.729996,214.550003,208.690002,210.600006,204.723175,6664500
2020-04-06,218.949997,227.910004,218.119995,226.529999,220.208664,10322500
2020-04-07,235.460007,236.160004,226.449997,226.600006,220.276703,10857700
2020-04-08,229.139999,235.250000,226.839996,234.330002,227.790970,7010200
2020-04-09,237.839996,240.190002,235.110001,237.139999,230.522568,9393200
2020-04-13,236.410004,236.690002,230.960007,233.960007,227.431305,6761900
2020-04-14,238.699997,240.470001,236.880005,239.679993,232.991669,5391900
2020-04-15,234.479996,236.580002,232.389999,235.080002,228.520065,6828000
2020-04-16,235.699997,236.059998,232.179993,235.339996,228.772797,6126400
2020-04-17,241.600006,242.660004,238.250000,242.429993,235.795151,5924500
2020-04-20,238.240005,241.110001,236.259995,236.639999,230.163681,7357400
2020-04-21,231.330002,233.339996,229.410004,230.220001,223.919357,6571400
2020-04-22,234.399994,236.270004,233.389999,234.770004,228.344833,4318000
2020-04-23,235.509995,238.919998,234.830002,235.070007,228.636673,6364800
2020-04-24,236.610001,238.330002,234.199997,237.830002,231.321075,3568500
2020-04-27,239.119995,242.190002,238.449997,241.320007,234.715607,3632500
2020-04-28,245.009995,245.160004,240.360001,241.089996,234.491898,4709900
2020-04-29,245.479996,247.669998,244.199997,246.449997,239.705170,5015300
2020-04-30,244.199997,245.169998,241.910004,243.220001,236.563614,4928900
2020-05-01,239.580002,240.330002,236.500000,237.279999,230.786163,4723500
2020-05-04,235.210007,237.750000,233.639999,237.419998,230.922333,3845500
2020-05-05,240.020004,241.740005,238.699997,238.800003,232.264542,3143500
2020-05-06,240.339996,240.539993,236.600006,236.860001,230.377686,3082300
2020-05-07,239.240005,241.179993,238.550003,238.910004,232.371567,3411500
2020-05-08,242.270004,243.800003,241.339996,243.619995,236.952652,3894800
2020-05-11,241.679993,243.940002,241.000000,242.559998,235.921661,2743000
2020-05-12,243.809998,244.139999,237.940002,238.080002,231.564285,6433900
2020-05-13,236.960007,237.500000,231.020004,232.820007,226.448212,7531300
2020-05-14,230.080002,236.759995,228.300003,236.750000,230.270660,6964500
2020-05-15,234.160004,237.250000,233.410004,236.910004,230.876801,4811100
2020-05-18,243.509995,247.199997,243.360001,245.929993,239.667114,5207700
2020-05-19,245.449997,246.020004,242.070007,242.220001,236.051575,4404700
2020-05-20,245.399994,246.580002,244.729996,245.729996,239.472214,3280600
2020-05-21,245.550003,247.380005,243.880005,245.020004,238.780334,3378200
2020-05-22,244.910004,245.100006,243.169998,244.880005,238.643829,2521100
2020-05-26,250.839996,252.020004,249.880005,250.250000,243.877090,4872300
2020-05-27,253.729996,255.789993,250.330002,255.770004,249.256561,5326100
2020-05-28,257.869995,257.940002,253.889999,254.350006,247.872711,4957600
2020-05-29,253.270004,255.320007,250.679993,254.289993,247.814194,5082300
2020-06-01,253.779999,255.550003,252.699997,255.270004,248.769257,2060800
2020-06-02,256.549988,257.920013,255.710007,257.850006,251.283539,3045800
2020-06-03,260.350006,264.000000,259.660004,263.170013,256.468109,5184500
2020-06-04,262.369995,264.429993,261.390015,263.329987,256.624023,3937100
2020-06-05,270.399994,273.950012,269.790009,271.540009,264.624908,7866800
2020-06-08,272.899994,276.380005,272.899994,276.279999,269.244202,4667600
2020-06-09,273.239990,275.019989,272.130005,273.380005,266.418091,4632600
2020-06-10,273.200012,274.179993,270.010010,270.459991,263.572388,6531200
2020-06-11,262.140015,263.510010,251.380005,252.029999,245.611801,14257800
2020-06-12,259.000000,260.320007,251.429993,256.739990,250.201782,9817200
2020-06-15,250.289993,259.600006,249.100006,258.350006,251.770844,7421300
2020-06-16,267.089996,267.140015,258.690002,263.820007,257.101532,9238000
2020-06-17,264.609985,264.700012,261.260010,261.820007,255.152466,3669300
2020-06-18,260.040009,262.260010,259.109985,261.450012,254.791901,3268700
2020-06-19,264.209991,264.459991,257.609985,258.799988,252.937836,5852600
2020-06-22,257.880005,260.579987,256.679993,260.320007,254.423462,2823500
2020-06-23,262.829987,263.149994,261.019989,261.500000,255.576675,2948000
2020-06-24,259.220001,259.519989,252.940002,254.630005,248.862259,5903500
2020-06-25,253.339996,257.709991,252.059998,257.440002,251.608627,4312300
2020-06-26,255.649994,256.049988,249.699997,250.380005,244.708588,5331400
2020-06-29,252.179993,256.119995,250.949997,255.910004,250.113312,3759000
2020-06-30,255.070007,259.049988,254.720001,257.869995,252.028931,3667900
2020-07-01,258.869995,260.260010,257.140015,257.309998,251.481613,3575300
2020-07-02,261.149994,262.170013,257.880005,258.420013,252.566483,3830000
2020-07-06,262.160004,263.049988,260.869995,263.000000,257.042694,2989100
2020-07-07,261.100006,261.850006,258.779999,259.040009,253.172394,2828700
2020-07-08,259.640015,261.190002,258.250000,260.720001,254.814377,2837800
2020-07-09,260.869995,261.190002,255.350006,257.239990,251.413208,3995600
2020-07-10,257.200012,261.160004,256.459991,260.820007,254.912079,3110100
2020-07-13,263.059998,266.519989,260.579987,261.040009,255.127090,4876000
2020-07-14,260.540009,267.049988,260.100006,266.589996,260.551422,7614300
2020-07-15,270.470001,270.540009,267.049988,268.910004,262.818787,5220600
2020-07-16,267.160004,268.929993,266.019989,267.470001,261.411469,2478100
2020-07-17,267.950012,268.070007,266.170013,266.739990,260.903839,3415100
2020-07-20,266.390015,267.640015,265.029999,266.820007,260.982056,4017400
2020-07-21,268.820007,270.269989,267.649994,268.339996,262.468750,3173200
2020-07-22,267.820007,270.350006,267.769989,269.980011,264.072937,2039300
2020-07-23,269.640015,269.779999,265.619995,266.690002,260.854919,2838000
2020-07-24,265.149994,266.339996,264.049988,264.690002,258.898621,2637700
2020-07-27,264.769989,266.309998,264.350006,265.950012,260.131104,2637900
2020-07-28,264.920013,265.609985,263.630005,263.929993,258.155243,1989300
2020-07-29,264.190002,266.070007,263.799988,265.500000,259.690887,1917900
2020-07-30,262.480011,263.820007,259.940002,263.279999,257.519470,3055600
2020-07-31,263.760010,264.489990,260.179993,264.350006,258.566132,3306800
2020-08-03,265.670013,267.149994,265.350006,266.720001,260.884186,2569300
2020-08-04,266.290009,268.420013,266.029999,268.410004,262.537262,1909800
2020-08-05,269.989990,272.269989,269.899994,272.000000,266.048706,2122900
2020-08-06,271.630005,274.029999,271.570007,273.899994,267.907166,1948100
2020-08-07,273.230011,274.820007,272.480011,274.619995,268.611389,2311300
2020-08-10,275.510010,278.279999,275.480011,278.140015,272.054382,2313900
2020-08-11,280.899994,281.779999,276.470001,277.190002,271.125214,4546400
2020-08-12,279.839996,280.739990,278.720001,280.040009,273.912872,2641600
2020-08-13,279.130005,280.220001,278.230011,279.420013,273.306396,1668300
2020-08-14,278.230011,280.160004,277.899994,279.799988,273.678101,2247000
2020-08-17,280.140015,280.250000,278.500000,278.950012,272.846680,2436900
2020-08-18,279.100006,279.369995,277.109985,278.200012,272.113068,1678300
2020-08-19,278.679993,279.739990,276.970001,277.429993,271.359955,3374300
2020-08-20,276.040009,278.339996,275.869995,277.869995,271.790314,2063700
2020-08-21,277.040009,279.609985,276.859985,279.290009,273.774353,2601200
2020-08-24,281.720001,283.250000,280.470001,283.179993,277.587524,2622800
2020-08-25,284.230011,284.230011,281.019989,282.619995,277.038544,3346000
2020-08-26,282.609985,283.609985,281.570007,283.429993,277.832550,2647500
2020-08-27,284.440002,286.450012,283.679993,285.040009,279.410736,3432800
2020-08-28,286.230011,287.450012,285.000000,286.700012,281.037964,2715500
2020-08-31,286.260010,286.339996,283.890015,284.279999,278.665771,4070100
2020-09-01,283.730011,286.929993,283.170013,286.790009,281.126190,3023600
2020-09-02,288.079987,292.059998,287.600006,291.209991,285.458893,3464300
2020-09-03,290.970001,292.359985,281.100006,283.339996,277.744354,6118500
2020-09-04,284.910004,285.790009,277.010010,281.769989,276.205353,7145800
2020-09-08,278.820007,278.829987,275.010010,275.420013,269.980743,4780100
2020-09-09,278.089996,282.489990,277.390015,279.850006,274.323273,3488900
2020-09-10,281.130005,282.170013,274.850006,275.790009,270.343445,3455800
2020-09-11,276.950012,278.820007,274.959991,277.089996,271.617767,2787500
2020-09-14,278.920013,281.429993,278.670013,280.529999,274.989899,2371700
2020-09-15,282.420013,282.899994,279.880005,280.579987,275.038879,2331800
2020-09-16,281.540009,284.230011,280.779999,281.029999,275.479950,2651800
2020-09-17,277.690002,281.149994,277.089996,279.570007,274.048828,3305300
2020-09-18,279.019989,279.399994,274.769989,276.519989,271.707184,3156700
2020-09-21,271.579987,272.170013,267.049988,271.440002,266.715637,5936900
2020-09-22,271.670013,273.239990,269.790009,272.809998,268.061829,3169800
2020-09-23,274.179993,274.589996,267.079987,267.579987,262.922821,3575900
2020-09-24,266.859985,270.880005,265.269989,268.100006,263.433838,4432100
2020-09-25,266.760010,272.309998,266.230011,271.700012,266.971161,3606800
2020-09-28,275.260010,277.119995,274.720001,275.899994,271.098083,2790200
2020-09-29,275.600006,275.980011,273.290009,274.420013,269.643799,1971100
2020-09-30,275.000000,280.170013,275.000000,277.500000,272.670166,4028500
2020-10-01,279.329987,280.350006,276.570007,278.140015,273.299072,2968000
2020-10-02,274.170013,278.510010,273.600006,276.799988,271.982391,4771600
2020-10-05,278.790009,281.589996,278.750000,281.510010,276.610382,1862500
2020-10-06,282.540009,283.519989,277.239990,277.720001,272.886444,4364400
2020-10-07,280.279999,283.670013,280.230011,282.920013,277.995880,2422600
2020-10-08,284.519989,284.679993,282.690002,284.290009,279.342041,2148000
2020-10-09,285.609985,286.809998,284.410004,285.929993,280.953522,2549100
2020-10-12,286.950012,289.609985,286.679993,288.459991,283.439484,2534800
2020-10-13,287.660004,288.109985,286.019989,286.739990,281.749420,2430600
2020-10-14,287.220001,287.950012,284.579987,285.130005,280.167358,2264000
2020-10-15,282.029999,285.399994,281.660004,285.040009,280.078949,3128000
2020-10-16,286.239990,288.369995,285.890015,285.970001,281.108215,2409300
2020-10-19,286.640015,287.059998,281.279999,282.029999,277.235199,2837600
2020-10-20,283.160004,285.660004,282.250000,282.950012,278.139526,3339000
2020-10-21,282.540009,284.470001,281.829987,281.970001,277.176178,2907100
2020-10-22,282.100006,284.160004,280.299988,283.649994,278.827606,2324200
2020-10-23,284.450012,284.540009,281.510010,283.339996,278.522888,2161000
2020-10-26,280.140015,280.390015,273.700012,277.000000,272.290680,5140600
2020-10-27,276.950012,277.070007,274.600006,274.660004,269.990479,3029800
2020-10-28,269.000000,270.750000,265.019989,265.480011,260.966553,5815200
2020-10-29,265.130005,268.940002,262.809998,266.589996,262.057648,5479400
2020-10-30,265.029999,266.320007,261.410004,265.059998,260.553650,5271200
2020-11-02,268.899994,270.500000,266.929993,269.200012,264.623322,5062900
2020-11-03,272.660004,276.429993,272.200012,274.649994,269.980652,4343000
2020-11-04,275.899994,283.059998,275.559998,278.510010,273.775055,6766400
2020-11-05,282.290009,284.959991,282.070007,283.910004,279.083191,4316200
2020-11-06,283.950012,284.380005,281.890015,283.220001,278.404938,3078200
2020-11-09,298.609985,299.489990,291.390015,291.720001,286.760437,10839300
2020-11-10,293.299988,294.959991,291.399994,294.510010,289.503021,4354500
